"dataset","dataset_md5","backend","metric","k","target_recall","n","p","shape_group","crossfit_selected_family","crossfit_selection_basis","crossfit_n_training_datasets","crossfit_median_training_time_sec","crossfit_test_method","crossfit_resolved_route_family","crossfit_time_sec","crossfit_min_run_mean_query_recall_at_k","crossfit_exact_selected","crossfit_approximate_target_met","crossfit_operating_point_met","crossfit_method_agreement","crossfit_abstained","crossfit_over_oracle","package_auto_method","package_auto_resolved_backend","package_auto_resolved_route_family","package_auto_time_sec","package_auto_exact_selected","package_auto_approximate_target_met","package_auto_operating_point_met","package_auto_method_agreement","package_auto_abstained","package_auto_over_oracle","oracle_method","oracle_resolved_route_family","oracle_time_sec","oracle_exact_audited"
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu","correlation",100,0.9,1440,16384,"small_high_dim","hnsw","same_shape_group",2,0.117166548127014,"faissR_cpu_hnsw","hnsw",0.676,0.995947265625,FALSE,TRUE,TRUE,TRUE,FALSE,1,"faissR_cpu_auto","faiss_flat_correlation","exact_family",0.98,FALSE,NA,FALSE,FALSE,TRUE,NA,"faissR_cpu_hnsw","hnsw",0.676,FALSE
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu","correlation",100,0.95,1440,16384,"small_high_dim","hnsw","same_shape_group",2,0.111857051632877,"faissR_cpu_hnsw","hnsw",0.7125,0.996328125,FALSE,TRUE,TRUE,TRUE,FALSE,1,"faissR_cpu_auto","faiss_flat_correlation","exact_family",0.969,FALSE,NA,FALSE,FALSE,TRUE,NA,"faissR_cpu_hnsw","hnsw",0.7125,FALSE
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu","correlation",100,0.99,1440,16384,"small_high_dim","exact","same_shape_group",2,0.521545300045931,"faissR_cpu_exact","exact_family",0.6655,0.99984375,TRUE,NA,TRUE,TRUE,FALSE,1,"faissR_cpu_auto","faiss_flat_correlation","exact_family",0.958,FALSE,NA,FALSE,TRUE,TRUE,NA,"faissR_cpu_exact","exact_family",0.6655,TRUE
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu","correlation",15,0.9,1440,16384,"small_high_dim","hnsw","same_shape_group",2,0.0692820323027551,"faissR_cpu_hnsw","hnsw",0.598,0.996614583333333,FALSE,TRUE,TRUE,TRUE,FALSE,1,"faissR_cpu_auto","faiss_flat_correlation","exact_family",0.918,FALSE,NA,FALSE,FALSE,TRUE,NA,"faissR_cpu_hnsw","hnsw",0.598,FALSE
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu","correlation",15,0.95,1440,16384,"small_high_dim","hnsw","same_shape_group",2,0.067003731239387,"faissR_cpu_hnsw","hnsw",0.5775,0.995247395833333,FALSE,TRUE,TRUE,TRUE,FALSE,1,"faissR_cpu_auto","faiss_flat_correlation","exact_family",0.966,FALSE,NA,FALSE,FALSE,TRUE,NA,"faissR_cpu_hnsw","hnsw",0.5775,FALSE
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu","correlation",15,0.99,1440,16384,"small_high_dim","exact","same_shape_group",2,0.279505813893021,"faissR_cpu_exact","exact_family",0.6975,0.999869791666667,TRUE,NA,TRUE,TRUE,FALSE,1,"faissR_cpu_auto","faiss_flat_correlation","exact_family",0.956,FALSE,NA,FALSE,TRUE,TRUE,NA,"faissR_cpu_exact","exact_family",0.6975,TRUE
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu","correlation",30,0.9,1440,16384,"small_high_dim","hnsw","same_shape_group",2,0.072728948844322,"faissR_cpu_hnsw","hnsw",0.567,0.993912760416667,FALSE,TRUE,TRUE,TRUE,FALSE,1,"faissR_cpu_auto","faiss_flat_correlation","exact_family",0.982,FALSE,NA,FALSE,FALSE,TRUE,NA,"faissR_cpu_hnsw","hnsw",0.567,FALSE
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu","correlation",30,0.95,1440,16384,"small_high_dim","hnsw","same_shape_group",2,0.0668692754559222,"faissR_cpu_hnsw","hnsw",0.5675,0.9927734375,FALSE,TRUE,TRUE,TRUE,FALSE,1,"faissR_cpu_auto","faiss_flat_correlation","exact_family",1.007,FALSE,NA,FALSE,FALSE,TRUE,NA,"faissR_cpu_hnsw","hnsw",0.5675,FALSE
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu","correlation",30,0.99,1440,16384,"small_high_dim","hnsw","same_shape_group",2,0.102286362727394,"faissR_cpu_hnsw","hnsw",0.7735,0.99873046875,FALSE,TRUE,TRUE,FALSE,FALSE,1.22972972972973,"faissR_cpu_auto","faiss_flat_correlation","exact_family",0.929,FALSE,NA,FALSE,TRUE,TRUE,NA,"faissR_cpu_exact","exact_family",0.629,TRUE
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu","correlation",50,0.9,1440,16384,"small_high_dim","hnsw","same_shape_group",2,0.0916719695435851,"faissR_cpu_hnsw","hnsw",0.6105,0.99099609375,FALSE,TRUE,TRUE,TRUE,FALSE,1,"faissR_cpu_auto","faiss_flat_correlation","exact_family",1.002,FALSE,NA,FALSE,FALSE,TRUE,NA,"faissR_cpu_hnsw","hnsw",0.6105,FALSE
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu","correlation",50,0.95,1440,16384,"small_high_dim","hnsw","same_shape_group",1,0.0359999999999999,"faissR_cpu_hnsw","hnsw",0.588,0.99025390625,FALSE,TRUE,TRUE,TRUE,FALSE,1,"faissR_cpu_auto","faiss_flat_correlation","exact_family",1.034,FALSE,NA,FALSE,FALSE,TRUE,NA,"faissR_cpu_hnsw","hnsw",0.588,FALSE
