"backend","method","metric","rows","datasets","k_values","candidate_ids","sha256","grid_source"
"cpu","bruteforce","correlation",360,9,"15;30;50;100",10,"d1b7762feea5b72add3973ea0cbcc6e2c3d96981ea8c7b748ca4b6506b3ed393","calibration/real/cpu/1189756_20260807_081437/bruteforce_tuning_candidate_grid.csv"
"cpu","bruteforce","cosine",360,9,"15;30;50;100",10,"9e472d04d3a22a6effa90f3678efce9cce74928d8735292618407a1b42a8f375","calibration/real/cpu/1189757_20260807_081438/bruteforce_tuning_candidate_grid.csv"
"cpu","bruteforce","euclidean",360,9,"15;30;50;100",10,"51622e9ee2ae3742f7c82db5c3a8ff4fac43022f4f6c2c11454003d66760bddd","calibration/real/cpu/1189758_20260807_081436/bruteforce_tuning_candidate_grid.csv"
"cpu","exact","correlation",360,9,"15;30;50;100",10,"1601770b50519858da27a4f6378b2f2b68d4344e6ae1efbab1f31fda4f82264b","calibration/real/cpu/1189760_20260807_081436/exact_tuning_candidate_grid.csv"
"cpu","exact","cosine",360,9,"15;30;50;100",10,"ab545f31db4e5a39b132165d3ce982bec9808dc176e5857f95a25be72bdafc03","calibration/real/cpu/1189761_20260807_081436/exact_tuning_candidate_grid.csv"
"cpu","exact","euclidean",360,9,"15;30;50;100",10,"999c3863d6ad3a9323e16c9b8f3f2903f5c60b320cf1e61dd5eb93641025ad06","calibration/real/cpu/1189762_20260807_104155/exact_tuning_candidate_grid.csv"
"cpu","flat","correlation",360,9,"15;30;50;100",10,"d8f376bc70edae4f92992443eb41cbb077370a59dfd0740cb215ab7302dbd246","calibration/real/cpu/1189764_20260807_110613/flat_tuning_candidate_grid.csv"
"cpu","flat","cosine",360,9,"15;30;50;100",10,"52c52df14a73f23ced133e3c0e4977115de96f1b5eb2a28783124d9379d6eaa0","calibration/real/cpu/1189765_20260807_112908/flat_tuning_candidate_grid.csv"
"cpu","flat","euclidean",360,9,"15;30;50;100",10,"9af4d78e6de0ed09c8e5bc2eb58380b59bb15752f140d342419b3542d3021c1e","calibration/real/cpu/1189766_20260807_155425/flat_tuning_candidate_grid.csv"
"cpu","hnsw","correlation",504,9,"15;30;50;100",29,"d227a825d353fd20e557d2b5ef2db476fd01b0e66cce25bcd97863e88701a3e8","calibration/real/cpu/1189768_20260807_181908/hnsw_tuning_candidate_grid.csv"
"cpu","hnsw","cosine",504,9,"15;30;50;100",29,"58d6ddc47c138fce7756dd545bd3d6f803d6904338e32cdc250feec0a1b8d967","calibration/real/cpu/1189769_20260807_184527/hnsw_tuning_candidate_grid.csv"
"cpu","hnsw","euclidean",504,9,"15;30;50;100",29,"8c6b559d267ef555e5733d23e3145d0bcde5066c9db849fe75a241a08c87d49a","calibration/real/cpu/1189770_20260807_204530/hnsw_tuning_candidate_grid.csv"
"cpu","ivf","correlation",324,9,"15;30;50;100",125,"e413964c9a69cbe990cfb6e408463b24afee83df0961b3d54907b9d00ab34d17","calibration/real/cpu/1189772_20260807_204531/ivf_tuning_candidate_grid.csv"
"cpu","ivf","cosine",324,9,"15;30;50;100",125,"46c453bbe1c412041a7ec4bc4c1ffee0f3e38ce192cd002d8a99401439dbb913","calibration/real/cpu/1189773_20260807_204531/ivf_tuning_candidate_grid.csv"
"cpu","ivf","euclidean",324,9,"15;30;50;100",125,"a6c96afa7e7ee7a48c04a0c216a7af5690328ad75bfb2b25c847a8c45b65b197","calibration/real/cpu/1189774_20260807_204531/ivf_tuning_candidate_grid.csv"
"cpu","ivfpq","correlation",792,9,"15;30;50;100",341,"213c4ac9b6d7db112c470860242d71d93d381fdc47d9a7364056f027252b104c","calibration/real/cpu/1189776_20260807_204532/ivfpq_tuning_candidate_grid.csv"
"cpu","ivfpq","cosine",792,9,"15;30;50;100",341,"b8b6cc5668a4b81fc468580f83a66a3724a58765e6f0e99cfba49e21c06c719f","calibration/real/cpu/1189777_20260807_204531/ivfpq_tuning_candidate_grid.csv"
"cpu","ivfpq","euclidean",792,9,"15;30;50;100",341,"ee389f5b0c20604cf2cc67e1584461bda1e19144e1156ea2f52beb283c180fd8","calibration/real/cpu/1189778_20260807_204531/ivfpq_tuning_candidate_grid.csv"
"cpu","ivfpq_fastscan","correlation",648,9,"15;30;50;100",286,"2c2b6df3792d1a73919984ed9a8198993d8004655f6f3eed78e972aaf8866993","calibration/real/cpu/1189780_20260807_204532/ivfpq_fastscan_tuning_candidate_grid.csv"
"cpu","ivfpq_fastscan","cosine",648,9,"15;30;50;100",286,"c487810a9da304ee2fcce86acdea1617bfef84ae9958bb032a4a0910e54e22aa","calibration/real/cpu/1189781_20260807_204531/ivfpq_fastscan_tuning_candidate_grid.csv"
"cpu","ivfpq_fastscan","euclidean",648,9,"15;30;50;100",286,"d3502698c082ae3a84168b50488fd5c48709099a7fc210e78a05e9a93c566ce2","calibration/real/cpu/1189782_20260807_204532/ivfpq_fastscan_tuning_candidate_grid.csv"
"cpu","nndescent","correlation",360,9,"15;30;50;100",23,"ec9667e3e96437a130136c7ec9893f31bc9a60898ba46989b2cd6ee8bbe07c6a","calibration/real/cpu/1189784_20260807_204531/nndescent_tuning_candidate_grid.csv"
"cpu","nndescent","cosine",360,9,"15;30;50;100",23,"c53c56e8877d99dd8841430c87bdb8301ba80a3d64d903ae6c8c96053996d097","calibration/real/cpu/1189785_20260807_204532/nndescent_tuning_candidate_grid.csv"
"cpu","nndescent","euclidean",360,9,"15;30;50;100",23,"a070225f5ddea0c6c68cc066a27cb73f51d80aadf5dbe2a16b158356f7a9439e","calibration/real/cpu/1189786_20260807_204531/nndescent_tuning_candidate_grid.csv"
"cpu","nsg","correlation",360,9,"15;30;50;100",25,"61b8b574f2d9de5c418e76d9f0916ec92a3f041c0d0a236138442a49ef6d610e","calibration/real/cpu/1189788_20260807_204531/nsg_tuning_candidate_grid.csv"
"cpu","nsg","cosine",360,9,"15;30;50;100",25,"7db02c60de9be799de3ae1651122ad961e6aab63c5cd6fb1a758aaf021a33dab","calibration/real/cpu/1189789_20260807_204534/nsg_tuning_candidate_grid.csv"
"cpu","nsg","euclidean",360,9,"15;30;50;100",25,"dcde6fef01e5d5a75aec9049930d93203f12e3532ebf2c86573ea9d51e32bf34","calibration/real/cpu/1189790_20260807_204534/nsg_tuning_candidate_grid.csv"
"cpu","vamana","correlation",360,9,"15;30;50;100",24,"5140ee43c9fb6ecc9109534bf94594ff87d3e385fbbc48bc3bff960c07566561","calibration/real/cpu/1189792_20260807_204534/vamana_tuning_candidate_grid.csv"
"cpu","vamana","cosine",360,9,"15;30;50;100",24,"659532c4a8b06db896f987e64efc3c966f016f135de91ee2d39428a78de75e88","calibration/real/cpu/1189793_20260807_204535/vamana_tuning_candidate_grid.csv"
"cpu","vamana","euclidean",360,9,"15;30;50;100",24,"6e93300cfb5995e2a48e67258f3cad1737ddebf446715927ae7d395154c3da0b","calibration/real/cpu/1189794_20260807_204534/vamana_tuning_candidate_grid.csv"
"cuda","bruteforce","correlation",432,9,"15;30;50;100",12,"18c89f8dccb6c74d176048b4a41988d884c4796640e24707be0849a5ccb64267","calibration/real/cuda/1189796_20260807_201048/bruteforce_tuning_candidate_grid.csv"
"cuda","bruteforce","cosine",432,9,"15;30;50;100",12,"d14a69497d7d34a78e091ca63149e94f3a933974d8f0eda63f3b8d5f82267aa2","calibration/real/cuda/1189797_20260808_020927/bruteforce_tuning_candidate_grid.csv"
"cuda","bruteforce","euclidean",432,9,"15;30;50;100",12,"ce5acf4d2cb631f4fdf2009dbaa1078f476052c4fb7b683effc4ea0ac60159e7","calibration/real/cuda/1189798_20260808_033334/bruteforce_tuning_candidate_grid.csv"
"cuda","cagra","correlation",1152,9,"15;30;50;100",60,"5f87daac514c91449b50b6f31468eb3cdab8721a7ed260760ff381057efc5256","calibration/real/cuda/1189800_20260808_054643/cagra_tuning_candidate_grid.csv"
"cuda","cagra","cosine",1152,9,"15;30;50;100",60,"6f5d0f72ae312a9e242be9037b6fe9e48edfdddec83c7be5af6dca20f9522446","calibration/real/cuda/1189801_20260808_114232/cagra_tuning_candidate_grid.csv"
"cuda","cagra","euclidean",1152,9,"15;30;50;100",60,"2b16a9f0fd56a849c9579c496c01bfc0bf216c04e7817ce384cab8b64a645d6e","calibration/real/cuda/1189802_20260808_114824/cagra_tuning_candidate_grid.csv"
"cuda","exact","correlation",432,9,"15;30;50;100",12,"bcd1302574570e63fdf3b5d1c94deacdbfc6387676a22ecef203197207394746","calibration/real/cuda/1189804_20260809_033256/exact_tuning_candidate_grid.csv"
"cuda","exact","cosine",432,9,"15;30;50;100",12,"b4e7c91b04e34b8fc454f344a8b87a75554d04dd984a4447a0084b5660ac845a","calibration/real/cuda/1189805_20260809_121116/exact_tuning_candidate_grid.csv"
"cuda","exact","euclidean",432,9,"15;30;50;100",12,"8bf66dceb7e236f6a4ae56f0944621ba919df8a8764546b0e93e05ebdf6f57de","calibration/real/cuda/1189806_20260809_204805/exact_tuning_candidate_grid.csv"
"cuda","flat","correlation",432,9,"15;30;50;100",12,"0f84c6867d4069d8aea7a6a06253c9842191d1082636e6f714b4f0b1182a05fb","calibration/real/cuda/1189808_20260810_025647/flat_tuning_candidate_grid.csv"
"cuda","flat","cosine",432,9,"15;30;50;100",12,"9bf96cdc2d3a382b2d432be6207bb1c94d3c69a7af8787e379fc196d5f55f918","calibration/real/cuda/1189809_20260810_041608/flat_tuning_candidate_grid.csv"
"cuda","flat","euclidean",432,9,"15;30;50;100",12,"50a4db8b37fc40e786d2a29f4b039b4f10c635cee7f21ae40ace301179c6ad44","calibration/real/cuda/1189810_20260810_050536/flat_tuning_candidate_grid.csv"
"cuda","hnsw","correlation",432,9,"15;30;50;100",21,"52aea7f169a014a9540903cff020078e9f095d639b43cf666289dc7dc5c0748f","calibration/real/cuda/1189812_20260810_120249/hnsw_tuning_candidate_grid.csv"
"cuda","hnsw","cosine",432,9,"15;30;50;100",21,"e0ff491fe5d0aab34f6081af1c0ee5f9776f70c7d0e9a35e97251a8771bbef04","calibration/real/cuda/1189813_20260810_125329/hnsw_tuning_candidate_grid.csv"
"cuda","hnsw","euclidean",432,9,"15;30;50;100",21,"eff43c73f907b1577e26b53d7b51107671c504d09036b856fb49ede6cde3ca7c","calibration/real/cuda/1189814_20260810_164432/hnsw_tuning_candidate_grid.csv"
"cuda","ivf","correlation",324,9,"15;30;50;100",125,"fceb7e41fc1419496873ed7b35696ca51057e061f0c1e11813b6c48a34360ef7","calibration/real/cuda/1189816_20260811_101251/ivf_tuning_candidate_grid.csv"
"cuda","ivf","cosine",324,9,"15;30;50;100",125,"2c04e8624d66a55e441cb5d204883753d06499a2d89fd1ac11a1e6b6aa3f57f1","calibration/real/cuda/1189817_20260811_104211/ivf_tuning_candidate_grid.csv"
"cuda","ivf","euclidean",324,9,"15;30;50;100",125,"db39282e020689b3813397d7e8a1d77258371974fbf652d87177567acbfabdb1","calibration/real/cuda/1189818_20260811_141052/ivf_tuning_candidate_grid.csv"
"cuda","ivfpq","correlation",756,9,"15;30;50;100",320,"29e6d61d50af317da204d175021588e3b5be315426557c8e6329eb047d6122a2","calibration/real/cuda/1189820_20260811_152259/ivfpq_tuning_candidate_grid.csv"
"cuda","ivfpq","cosine",756,9,"15;30;50;100",320,"bf2647ca3d8fe5b7abb2e55ec794a7cbc9670a2d8845b96098115d20665ee2ce","calibration/real/cuda/1189821_20260811_162019/ivfpq_tuning_candidate_grid.csv"
"cuda","ivfpq","euclidean",756,9,"15;30;50;100",320,"12caab633ba0c80788ce257d47df2eba61e5ba07aa1a714bde6b1916c514e99f","calibration/real/cuda/1189822_20260811_184839/ivfpq_tuning_candidate_grid.csv"
"cuda","ivfpq_fastscan","correlation",4176,9,"15;30;50;100",1764,"9d66f14074bd02ec9335393c9c269ae8d1b7897af50384922fd56e9a8b42b33c","calibration/real/cuda/1189824_20260811_212823/ivfpq_fastscan_tuning_candidate_grid.csv"
"cuda","ivfpq_fastscan","cosine",4176,9,"15;30;50;100",1764,"abe8b25d9200f29f6ba3fc5762397d91bd4b5f52f97e5d122a867e52af856a03","calibration/real/cuda/1189825_20260811_232205/ivfpq_fastscan_tuning_candidate_grid.csv"
