"source_group","dataset","dataset_md5","n","p","metric","seed","query_n","query_sampling","reference_k","reference_backend_used","cpu_audit_n","cpu_audit_mean_recall","cpu_audit_min_recall","cpu_audit_max_distance_error","cpu_audit_pass","faissR_version","faissR_package_commit","faissR_image_commit","record_source"
"real","COIL20","9fb70f4d8b5340eaca78d93988405aca",1440,16384,"euclidean",4,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,0.99984375,0.99,7.74013592220166,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","COIL20","9fb70f4d8b5340eaca78d93988405aca",1440,16384,"euclidean",20260706,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,1,1,8.53607471817736,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","COIL20","9fb70f4d8b5340eaca78d93988405aca",1440,16384,"euclidean",20260807,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,1,1,8.66387013100507,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","COIL20","9fb70f4d8b5340eaca78d93988405aca",1440,16384,"cosine",4,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,3.57329845428467e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","COIL20","9fb70f4d8b5340eaca78d93988405aca",1440,16384,"cosine",20260706,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,3.65376472473145e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","COIL20","9fb70f4d8b5340eaca78d93988405aca",1440,16384,"cosine",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,3.17096710205078e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","COIL20","9fb70f4d8b5340eaca78d93988405aca",1440,16384,"correlation",4,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,8.48174095153809e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","COIL20","9fb70f4d8b5340eaca78d93988405aca",1440,16384,"correlation",20260706,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,0.99953125,0.99,8.7052583694458e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","COIL20","9fb70f4d8b5340eaca78d93988405aca",1440,16384,"correlation",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,0.99984375,0.99,8.36551189422607e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","FashionMNIST","f9fb7867de23cbcc446c6718882134e0",70000,784,"euclidean",4,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,1,1,0.0178660106060988,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","FashionMNIST","f9fb7867de23cbcc446c6718882134e0",70000,784,"euclidean",20260706,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,1,1,0.0159602576345605,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
